time,date,title,content
00:54,2025년 1월 23일 목요일,"SOL 황소, 2월 말 400달러에 베팅 – 대규모 옵션 블록 거래 체결",솔라나(SOL)가 내달 말까지 400달러로 상승한다는 데 베팅하는 대규모 블록 거래가 포착됐다. 22일(현지 시간) 코인데스크에 따르면 지난 20일(월) 늦은 시간 OTC(장외시장) 네트워크 패러다임을 통해 데리빗 거래소에서 솔라나 옵션의 대규모 블록 거래가 체결됐다. 이번
00:47,2025년 1월 23일 목요일,"XRP, 7년 만의 최고가 경신 가능성… 최고가 돌파 임박?",XRP가 암호화폐 시장의 약한 상승세 속에서도 눈에 띄는 성과를 이어가고 있다. 2024년 11월 초부터 꾸준히 긍정적인 가격 흐름을 보인 XRP는 7년 만에 최고가 수준에 근접하며 주목받고 있다. 거래량 감소 속에서도 상승세 코인마켓캡(CoinMarketCap)에 따르면
00:30,2025년 1월 23일 목요일,"윌리 우 ""국가 간 경쟁이 비트코인 상승 촉진할 것""","온체인 분석가 윌리 우(Willy Woo)는 비트코인(BTC) 가격 상승의 다음 동력으로 ‘국가 간 경쟁’을 꼽았다. 22일(현지시간) 암호화폐 전문매체 데일리호들에 따르면, 윌리 우는 최근 인터뷰에서 엘살바도르와 부탄이 주도한 국가적 비트코인 보유 전략이 앞으로 더 많은 국가로 확산될 것이라고 전망했다"
00:14,2025년 1월 23일 목요일,"비트코인 장기 보유자, 매도 공세 완화된 듯 … 사이클 고점 가능성?",비트코인 장기 보유자들의 비트코인 매도 공세가 정점을 찍고 완화되기 시작한 것으로 보이며 그들의 전략 변화가 10만달러를 저항선에서 지지선으로 바꾸는 데 기여한 것 같다는 분석이 나왔다. 22일(현지 시간) 코인데스크에 따르면 비트코인은 지난 1월 17일 이후 단 한 차례의
00:06,2025년 1월 23일 목요일,"저스틴 선, 이더리움 $1만 위한 운영 방안 제시…”재단 3년 간 이더리움 매각 중단하라”","트론(Tron) 블록체인의 창립자 저스틴 선이 이더리움 재단(Ethereum Foundation, EF) 및 네트워크 운영 방안을 제시하며 이더리움(ETH) 가격 상승을 주장했다. 선은 자신의 제안이 이더리움 가격을 1만 달러로 끌어올릴 수 있다고 밝혔다. 22일(현지시각)"
00:05,2025년 1월 23일 목요일,트럼프 취임 전후 비트코인이 야금야금 오른 이유,[디지털투데이 홍진주 기자] 도널드 트럼프 미국 대통령 취임을 전후에 비트코인(BTC) 가격이 6일 연속 10만달러 이상 유지하고 있다. 21일 기준으로 비트코인 가격은 10만5000달러 전후를 오르내리고 있다. 최근 이처럼 비트코인 가격이 상승한 원인에 대해 상승장에서 기회를 놓칠지 모른다는 두려움의
23:50,2025년 1월 22일 수요일,"스텔라(XLM), 리플(XRP) 상대 최저점… 경쟁 구도 끝났나?","22일(현지시간) 암호화폐 전문매체 유투데이에 따르면, 스텔라(XLM)가 리플(XRP) 대비 사상 최저치를 기록하며 0.135 XRP까지 하락했다. XLM은 핵심 가격대인 0.15 XRP를 지키지 못하며 하루 만에 8%, 이번 주에만 29% 하락했다.   XLM과 XRP의 경쟁은 오랜 역사를 가지고 있다"
23:45,2025년 1월 22일 수요일,"잠보폰, $J 토큰 에어드롭 시작…신흥시장 웹3 확산 가속화",아프리카 기반 웹3(Web3) 기업 잠보(Jambo)가 출시한 웹3 스마트폰 ‘잠보폰(JamboPhone)’과 관련된 $J 토큰 에어드롭 이벤트가 본격적으로 시작됐다. 잠보는 1월 22일 오전 10시(UTC)부터 에어드롭을 진행한다고 밝혔다. 이번 에어드롭은 잠보폰 구매자를
23:30,2025년 1월 22일 수요일,"CME 비트코인 옵션 시장, 지난해 11월 이후 최고 수준 강세 신호","시카고상품거래소(CME)에서 거래되는 비트코인 옵션이 지난해 11월 5일 도널드 트럼프의 미국 대통령 선거 승리 이후 가장 강력한 강세 신호를 나타냈다고 코인데스크가 22일(현지 시간) 보도했다. 디지털 자산 지수 제공업체 CF 벤치마크스에 따르면, 옵션 시장 트레이더들이"
23:25,2025년 1월 22일 수요일,"도지코인, 과거 패턴 재현 시 500% 상승 가능성...전문가의 강세 분석에 주목","유명 암호화폐 분석가 자본 마크스는 도지코인(DOGE)이 현재 가격 대비 536% 상승해 2.29달러까지 급등할 가능성이 있다고 전망했다.   22일(현지시간) 암호화폐 전문매체 더크립토베이직에 따르면, 자본 마크스는 최근 X(구 트위터) 게시글에서 도지코인이 지난 12월 초 0.48달러에서 0.26달러"
01:17,2025년 1월 23일 목요일,"달러 지수, 강세 추세선 아래 후퇴 … 암호화폐에 긍정적 신호",최근 암호화폐와 주식 등 위험자산을 압박해온 미국 달러의 강세 흐름이 약화되면서 달러 지수가 강세 추세선 아래로 하락했다. 달러 지수(DXY)는 6개 주요 통화 대비 달러 가치를 나타낸다. 22일(현지 시간) 트레이딩뷰 차트를 인용한 코인데스크 기사에 따르면 달러 지수는
00:59,2025년 1월 23일 목요일,"트럼프 시대, 주목해야 할 3대 밈코인…TRUMP·MELANIA·DOGE","도널드 트럼프 대통령의 취임과 함께 밈코인 시장이 새로운 국면을 맞이하고 있다. 22일(현지시간) 암호화폐 전문매체 워처구루에 따르면, 전문가들은 트럼프 정부 하에서 높은 수익을 기대할 수 있는 3개의 주요 밈코인으로 TRUMP, MELANIA, DOGE를 꼽았다.   먼저, 트럼프가 공식적으로 발행한"
